sample,n,op,variant,block,warmup,batch,gap_us,dataset,event_span_ms,host_submit_ms,host_complete_ms,event_ms_per_op,max_abs_error
0,1003,transform,na,256,5,1,0,dyadic,0.005919999909,0.002125,0.011924,0.005919999909,0
1,1003,transform,na,256,5,1,0,dyadic,0.003744000103,0.001903,0.009174,0.003744000103,0
2,1003,transform,na,256,5,1,0,dyadic,0.00361600006,0.002106,0.009016,0.00361600006,0
3,1003,transform,na,256,5,1,0,dyadic,0.003807999892,0.00169,0.009445,0.003807999892,0
4,1003,transform,na,256,5,1,0,dyadic,0.00323199993,0.001937,0.008346,0.00323199993,0
5,1003,transform,na,256,5,1,0,dyadic,0.003520000027,0.001679,0.00926,0.003520000027,0
6,1003,transform,na,256,5,1,0,dyadic,0.004127999768,0.001653,0.009755,0.004127999768,0
7,1003,transform,na,256,5,1,0,dyadic,0.00409599999,0.001625,0.009672,0.00409599999,0
