sample,n,op,variant,block,warmup,batch,gap_us,dataset,event_span_ms,host_submit_ms,host_complete_ms,event_ms_per_op,max_abs_error
0,1003,add,na,256,5,50,0,dyadic,0.08492799848,0.083234,0.091544,0.001698559965,0
1,1003,add,na,256,5,50,0,dyadic,0.08588799834,0.084542,0.091203,0.001717759995,0
2,1003,add,na,256,5,50,0,dyadic,0.08371199667,0.082369,0.089086,0.001674239989,0
3,1003,add,na,256,5,50,0,dyadic,0.08448000252,0.08312,0.089655,0.00168960006,0
4,1003,add,na,256,5,50,0,dyadic,0.08521600068,0.083335,0.090393,0.001704319962,0
5,1003,add,na,256,5,50,0,dyadic,0.08553600311,0.084254,0.090782,0.001710720011,0
6,1003,add,na,256,5,50,0,dyadic,0.08495999873,0.083643,0.090183,0.001699200016,0
7,1003,add,na,256,5,50,0,dyadic,0.08544000238,0.084229,0.090744,0.00170880009,0
