sample,n,op,variant,block,warmup,batch,gap_us,dataset,event_span_ms,host_submit_ms,host_complete_ms,event_ms_per_op,max_abs_error
0,1003,add,na,256,5,1,0,dyadic,0.003967999946,0.002205,0.010741,0.003967999946,0
1,1003,add,na,256,5,1,0,dyadic,0.004575999919,0.001701,0.010348,0.004575999919,0
2,1003,add,na,256,5,1,0,dyadic,0.003263999941,0.002007,0.008551,0.003263999941,0
3,1003,add,na,256,5,1,0,dyadic,0.003839999903,0.00163,0.009561,0.003839999903,0
4,1003,add,na,256,5,1,0,dyadic,0.003295999952,0.001919,0.00848,0.003295999952,0
5,1003,add,na,256,5,1,0,dyadic,0.00400000019,0.001739,0.009829,0.00400000019,0
6,1003,add,na,256,5,1,0,dyadic,0.003295999952,0.001862,0.008472,0.003295999952,0
7,1003,add,na,256,5,1,0,dyadic,0.003423999995,0.001573,0.009213,0.003423999995,0
