sample,n,op,variant,block,warmup,batch,gap_us,dataset,event_span_ms,host_submit_ms,host_complete_ms,event_ms_per_op,max_abs_error
0,1003,add,na,256,5,1,0,dyadic,0.003807999892,0.002003,0.010499,0.003807999892,0
1,1003,add,na,256,5,1,0,dyadic,0.004288000055,0.001703,0.009889,0.004288000055,0
2,1003,add,na,256,5,1,0,dyadic,0.003327999962,0.002093,0.008469,0.003327999962,0
3,1003,add,na,256,5,1,0,dyadic,0.004191999789,0.001524,0.009663,0.004191999789,0
4,1003,add,na,256,5,1,0,dyadic,0.003327999962,0.001844,0.008399,0.003327999962,0
5,1003,add,na,256,5,1,0,dyadic,0.004319999833,0.001636,0.009931,0.004319999833,0
6,1003,add,na,256,5,1,0,dyadic,0.003552000038,0.001579,0.009128,0.003552000038,0
7,1003,add,na,256,5,1,0,dyadic,0.004127999768,0.00152,0.009422,0.004127999768,0
