sample,n,op,variant,block,warmup,batch,gap_us,dataset,event_span_ms,host_submit_ms,host_complete_ms,event_ms_per_op,max_abs_error
0,1003,reduce,tree,256,5,1,0,dyadic,0.005696000066,0.003502,0.012308,0.005696000066,0
1,1003,reduce,tree,256,5,1,0,dyadic,0.006016000174,0.003237,0.011995,0.006016000174,0
2,1003,reduce,tree,256,5,1,0,dyadic,0.006271999795,0.003393,0.011498,0.006271999795,0
3,1003,reduce,tree,256,5,1,0,dyadic,0.005183999892,0.003444,0.010352,0.005183999892,0
4,1003,reduce,tree,256,5,1,0,dyadic,0.006047999952,0.003355,0.011661,0.006047999952,0
5,1003,reduce,tree,256,5,1,0,dyadic,0.006111999974,0.003473,0.0118,0.006111999974,0
6,1003,reduce,tree,256,5,1,0,dyadic,0.006144000217,0.003137,0.011824,0.006144000217,0
7,1003,reduce,tree,256,5,1,0,dyadic,0.006496000104,0.003382,0.011636,0.006496000104,0
